url,Property ID,Price,State of the property,Availability,Number of bedrooms,Livable surface,Furnished,Attic,Garage,Number of garages,Kitchen equipment,Kitchen type,Number of bathrooms,Number of showers,Number of toilets,Type of heating,Type of glazing,Elevator,Number of facades,Garden,Surface garden,Terrace,Surface terrace,Total land surface,Swimming pool
https://immovlan.be/en/detail/apartment/for-sale/9080/zeveneken/rbu66179,rbu66179,260 000 €,New,,1,60 m²,,,,,,,1,,1,,,Yes,,Yes,,Yes,5 m²,,
https://immovlan.be/en/detail/apartment/for-sale/7000/mons/vbb60606,vbb60606,250 000 €,New,,2,78 m²,,,,,,,,1,1,,,,,Yes,,Yes,6 m²,,
https://immovlan.be/en/detail/residence/for-sale/6441/erpion/vbd48421,vbd48421,155 000 €,Excellent,On contract,2,52 m²,No,,,,,,1,,1,Electricity,Double glass,No,3,Yes,500 m²,,,562 m²,No
https://immovlan.be/en/detail/residence/for-sale/5000/namur/vbc56699,vbc56699,436 209 €,New,,3,166 m²,No,,,,,,1,,2,Fuel oil,,No,4,Yes,1057 m²,,,1057 m²,
https://immovlan.be/en/detail/residence/for-sale/5081/saint-denis/vbd44891,vbd44891,395 000 €,Normal,,3,177 m²,No,,Yes,1,,,1,1,1,Fuel oil,,No,4,Yes,,Yes,,3160 m²,
https://immovlan.be/en/detail/residence/for-sale/3550/heusden-zolder/rbu64218,rbu64218,399 000 €,New,,3,156 m²,No,,,,,,1,,,Hot air,,,3,Yes,,Yes,,605 m²,
https://immovlan.be/en/detail/villa/for-sale/6250/aiseau-presles/vbd49207,vbd49207,369 000 €,Excellent,On contract,3,210 m²,No,Yes,Yes,,Fully equipped,Western kitchen,1,1,2,Hot air,Double glass,No,4,Yes,700 m²,No,,800 m²,No
https://immovlan.be/en/detail/duplex/for-sale/7500/tournai/vbd46206,vbd46206,387 500 €,,On contract,3,119 m²,No,,Yes,,Fully equipped,Western kitchen,2,,,,Double glass,Yes,,No,,Yes,6 m²,,Yes
https://immovlan.be/en/detail/apartment/for-sale/4000/liege/vbb11668,vbb11668,340 930 €,New,,2,103 m²,No,,Yes,1,Fully equipped,Western kitchen,2,,2,,Double glass,Yes,,No,,Yes,5 m²,,No
https://immovlan.be/en/detail/residence/for-sale/9100/nieuwkerken-waas/rwc41136,rwc41136,429 000 €,Fully renovated,,3,165 m²,,,Yes,,,,1,,,Gas,Double glass,,4,Yes,145 m²,Yes,35 m²,,
https://immovlan.be/en/detail/apartment/for-sale/9041/oostakker/rbu63062,rbu63062,299 000 €,New,,2,89 m²,No,,Yes,,Super equipped,,1,,1,Hot air,Double glass,Yes,,,,Yes,10 m²,,
https://immovlan.be/en/detail/commercial-building/for-sale/1420/braine-l-alleud/vbb93601,vbb93601,980 000 €,New,,,,,,,,,Independent,,,,Not specified,,Yes,,,,Yes,,,
https://immovlan.be/en/detail/apartment/for-sale/1348/louvain-la-neuve/vbd28557,vbd28557,428 000 €,New,,2,97 m²,No,,,,,,2,,2,Gas,Double glass,Yes,,No,,Yes,10 m²,,
https://immovlan.be/en/detail/apartment/for-sale/4100/seraing/vbd39564,vbd39564,259 000 €,New,,2,95 m²,No,,,,,Independent,1,,1,Gas,Double glass,Yes,,No,,Yes,10 m²,,
https://immovlan.be/en/detail/residence/for-sale/7730/nechin/vbd45014,vbd45014,159 000 €,To be renovated,On contract,1,108 m²,No,Yes,,,,,1,1,1,Not specified,Double glass,No,4,Yes,600 m²,Yes,,867 m²,No
https://immovlan.be/en/detail/development-site/for-sale/5530/yvoir/vbd46306,vbd46306,65 000 €,,,,,,,,,,,,,,,,,,,,,,756 m²,
https://immovlan.be/en/detail/studio/for-sale/4000/liege/vbd46540,vbd46540,154 000 €,Normal,,1,40 m²,No,,Yes,,,,1,,1,Gas,Double glass,Yes,2,,,Yes,8 m²,,
https://immovlan.be/en/detail/residence/for-sale/1180/ukkel/vaz03910,vaz03910,835 000 €,New,On contract,4,,No,,,,,,1,,,,,,3,Yes,210 m²,Yes,,,
https://immovlan.be/en/detail/duplex/for-sale/1410/waterloo/vaz60211,vaz60211,982 700 €,New,,2,169 m²,No,,Yes,2,Super equipped,,2,,,,Double glass,Yes,2,Yes,142 m²,Yes,22 m²,,No
https://immovlan.be/en/detail/residence/for-sale/6800/libramont-chevigny/vbd17515,vbd17515,,To renovate,Immediately,10,160 m²,No,,,,,,3,3,3,Fuel oil,Double glass,No,3,Yes,130 m²,Yes,10 m²,180 m²,No
https://immovlan.be/en/detail/apartment/for-sale/9041/oostakker/rbu63041,rbu63041,269 000 €,New,,1,60 m²,No,,Yes,1,Super equipped,,1,,1,Hot air,Double glass,Yes,2,Yes,,Yes,6 m²,,No
https://immovlan.be/en/detail/residence/for-sale/8370/blankenberge/rbu62147,rbu62147,449 000 €,,,3,155 m²,,Yes,Yes,1,,,1,,1,,,,4,Yes,,Yes,,987 m²,
https://immovlan.be/en/detail/apartment/for-sale/3550/heusden-zolder/rbu58857,rbu58857,249 000 €,Normal,,1,69 m²,,,Yes,,Super equipped,,1,,,Gas,,,,Yes,,Yes,,,
https://immovlan.be/en/detail/land/for-sale/6830/bouillon/vbd30908,vbd30908,85 000 €,,,,,,,,,,,,,,,,,,,,,,1019 m²,
https://immovlan.be/en/detail/apartment/for-sale/1050/elsene/vbd47030,vbd47030,349 000 €,Excellent,,1,70 m²,,,,,Super equipped,,1,1,1,Gas,,No,2,No,,No,,,No
https://immovlan.be/en/detail/apartment/for-sale/8620/nieuwpoort/rbu65090,rbu65090,445 000 €,,,2,93 m²,,,,,,,1,,2,Gas,Double glass,Yes,,Yes,,Yes,,,
https://immovlan.be/en/detail/garage/for-sale/4821/andrimont/vbd47151,vbd47151,199 000 €,,On contract,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/3631/boorsem/rbu62494,rbu62494,305 000 €,Normal,,3,136 m²,No,,Yes,,,,1,,1,,,,4,Yes,,Yes,,386 m²,
https://immovlan.be/en/detail/residence/for-sale/7041/givry/vbb39991,vbb39991,349 000 €,New,From 01/01/2026,3,141 m²,No,,Yes,1,Not equipped,,1,1,,Not specified,,No,3,Yes,,Yes,,436 m²,
https://immovlan.be/en/detail/apartment/for-sale/3920/lommel/rbu66634,rbu66634,414 500 €,New,Immediately,3,126 m²,No,,,,,,1,,1,,,Yes,2,No,,Yes,29 m²,,
https://immovlan.be/en/detail/residence/for-sale/9120/haasdonk/rbt29912,rbt29912,585 000 €,New,,3,154 m²,No,,Yes,,,,2,,2,Not specified,,No,3,Yes,,Yes,,399 m²,
https://immovlan.be/en/detail/apartment/for-sale/7500/tournai/vbd46203,vbd46203,290 500 €,,On contract,2,107 m²,No,,Yes,,Fully equipped,Western kitchen,2,,,,Double glass,Yes,,No,,Yes,5 m²,,Yes
https://immovlan.be/en/detail/residence/for-sale/3890/gingelom/rbu47148,rbu47148,373 000 €,New,,3,152 m²,,,,,,,,,,,,,3,Yes,,Yes,,433 m²,
https://immovlan.be/en/detail/land/for-sale/7333/tertre/vbd45007,vbd45007,50 000 €,,On contract,,,,,,,,,,,,,,,,,,,,207 m²,
https://immovlan.be/en/detail/apartment/for-sale/7000/mons/vbd36802,vbd36802,183 000 €,New,,1,66 m²,,,,,,,,,,,,Yes,3,No,,Yes,8 m²,,
https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd45066,vbd45066,365 000 €,Normal,Immediately,2,90 m²,No,,,,Super equipped,,1,1,2,,Double glass,Yes,2,No,,Yes,4 m²,,No
https://immovlan.be/en/detail/apartment/for-sale/2440/geel/rbu51405,rbu51405,354 900 €,New,Immediately,2,109 m²,No,,Yes,,,,1,,1,,,Yes,2,No,,Yes,22 m²,,
https://immovlan.be/en/detail/apartment/for-sale/6700/arlon/vbc72574,vbc72574,319 000 €,New,,2,91 m²,No,No,,,Super equipped,,1,,1,Gas,,Yes,2,Yes,,Yes,13 m²,,
https://immovlan.be/en/detail/residence/for-sale/7500/tournai/vwd15477,vwd15477,250 000 €,Normal,On contract,5,205 m²,,No,,,Fully equipped,Western kitchen,3,,,Gas,Double glass,No,2,No,,Yes,16 m²,71 m²,No
